9980
         10697584 function calls (10694032 primitive calls) in 10.308 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      309    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      115    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       56    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
      103    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       13    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      110    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
       30    0.000    0.000    0.001    0.000 getlimits.py:43(<lambda>)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:359(_populate)
        1    0.000    0.000    0.005    0.005 TiffImagePlugin.py:42(<module>)
       50    0.000    0.000    0.000    0.000 _internal.py:784(_ufunc_doc_signature_formatter)
      310    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
    26/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.001    0.001 pickle.py:181(<listcomp>)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        1    0.000    0.000    0.000    0.000 Image.py:531(Image)
      102    0.000    0.000    0.001    0.000 re.py:170(match)
        1    0.000    0.000    0.007    0.007 threading.py:1(<module>)
       33    0.000    0.000    0.007    0.000 sre_compile.py:598(_code)
    35/25    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
        1    0.000    0.000    0.000    0.000 hermite_e.py:60(<module>)
        1    0.000    0.000    0.005    0.005 scimath.py:17(<module>)
      178    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       33    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.010    0.010 pickle.py:24(<module>)
        4    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.010    0.010 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
      110    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
        9    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
        1    0.000    0.000    0.008    0.008 __init__.py:41(<module>)
        1    0.000    0.000    0.004    0.004 signal.py:1(<module>)
        1    0.000    0.000    0.002    0.002 parse.py:28(<module>)
       72    0.000    0.000    0.000    0.000 enum.py:526(__new__)
        1    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
      308    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      384    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
       11    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.005    0.005 linalg.py:10(<module>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:989(TiffImageFile)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        7    0.000    0.000    0.007    0.001 enum.py:633(_convert)
      245    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 context.py:279(SpawnProcess)
        1    0.000    0.000    0.003    0.003 type_check.py:3(<module>)
        1    0.000    0.000    0.001    0.001 random.py:38(<module>)
      104    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
        3    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f1e926a9440}
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       96    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
        3    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
        1    0.000    0.000    0.004    0.004 hmac.py:4(<module>)
        1    0.000    0.000    0.007    0.007 pathlib.py:1(<module>)
      363    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
       13    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      145    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.001    0.001 getlimits.py:3(<module>)
       33    0.000    0.000    0.000    0.000 posixpath.py:75(join)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
