         201548903 function calls (201542178 primitive calls) in 332.444 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      570    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
        1    0.001    0.001    0.025    0.025 numeric.py:1(<module>)
      163    0.001    0.000    0.001    0.000 enum.py:376(__setattr__)
    82/80    0.001    0.000    0.001    0.000 pyparsing.py:372(__init__)
   131/65    0.001    0.000    0.009    0.000 pyparsing.py:3363(copy)
      547    0.001    0.000    0.013    0.000 __init__.py:1406(_get_metadata_path)
      146    0.001    0.000    0.001    0.000 sre_parse.py:84(opengroup)
      190    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
    402/6    0.001    0.000    0.790    0.132 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      280    0.001    0.000    0.083    0.000 __init__.py:3277(<genexpr>)
      552    0.001    0.000    0.001    0.000 __init__.py:1934(__init__)
      424    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
   112/85    0.000    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
     1307    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      616    0.000    0.000    0.001    0.000 _inspect.py:15(ismethod)
      400    0.000    0.000    0.005    0.000 __init__.py:1603(_has)
      178    0.000    0.000    0.026    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.050    0.050 pyparsing.py:75(<module>)
      200    0.000    0.000    0.007    0.000 enum.py:284(__call__)
     1958    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      692    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      486    0.000    0.000    0.001    0.000 __init__.py:2553(is_version_line)
      283    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
       12    0.000    0.000    0.007    0.001 pyparsing.py:2653(__init__)
     1322    0.000    0.000    0.000    0.000 version.py:332(_parse_local_version)
